GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__Lachnoclostridium_A	3	2	g__Lachnoclostridium 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__Metallibacterium	3	2	g__Metallibacterium 66.67%, g__Mizugakiibacter 33.33%
g__MED660	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Spirochaeta(f__Spirochaetaceae) 33.33%
g__Palsa-955	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Ferruginibacter 33.33%
g__41-12-T18	3	2	g__Methylophaga(f__Piscirickettsiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Tranquillimonas	3	2	g__Tranquillimonas 66.67%, g__Roseivivax 33.33%
g__Oceaniglobus	3	2	g__Oceaniglobus 66.67%, g__Kandeliimicrobium 33.33%
g__Edwardiiplasma	3	2	g__Mesoplasma(f__Entomoplasmataceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Luteococcus	3	2	g__Luteococcus 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Anaerobacillus_A	3	2	g__Bacillus(f__Bacillaceae) 66.67%, g__Anaerobacillus(f__Bacillaceae) 33.33%
g__Lachnotalea	3	2	g__Lachnotalea 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Thiohalobacter	3	2	g__Thiohalobacter(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Meinhardsimonia	3	2	g__Albidovulum 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UBA2316	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Bdellovibrio 33.33%
g__UBA6767	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Proteiniborus(f__) 33.33%
g__Aminiphilus	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Aminiphilus(f__Synergistaceae) 33.33%
g__Sabulitectum	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Sabulitectum(f__) 33.33%
g__Seleniivibrio	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Seleniivibrio(f__Deferribacteraceae) 33.33%
g__UBA945	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Neglecta(f__Ruminococcaceae) 33.33%
g__Contendobacter	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Contendobacter 33.33%
g__UBA3561	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__Bergeyella_A	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Bergeyella(f__Flavobacteriaceae) 33.33%
g__UBA5701	3	2	g__Micavibrio(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__GCA-002704185	3	2	g__Candidatus Pelagibacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Oricola	3	2	g__Ahrensia(f__Rhodobacteraceae) 66.67%, g__Oricola(f__Phyllobacteriaceae) 33.33%
g__Ilumatobacter	3	2	g__Ilumatobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Methyloglobulus	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Methyloglobulus(f__Methylococcaceae) 33.33%
g__UBA2705	3	2	g__Micavibrio(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UBA2144	3	2	g__Candidatus Peribacter(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Caldilinea	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Caldilinea 33.33%
g__Magnetovibrio	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Magnetovibrio(f__Rhodospirillaceae) 33.33%
g__Fen-1166	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Smithella(f__Syntrophaceae) 33.33%
g__Anaeroplasma	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Anaeroplasma 33.33%
g__UBA3569	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__Sulfurivermis	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Sulfurivermis(f__Thioalkalispiraceae) 33.33%
g__GCA-2699025	3	2	g__Sandaracinus(f__Sandaracinaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UBA4923	3	2	g__Mageeibacillus(f__Hungateiclostridiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UBA6929	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Micavibrio(f__) 33.33%
g__Zhengella	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Zhengella(f__Phyllobacteriaceae) 33.33%
g__UBA2357	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Azoarcus(f__Zoogloeaceae) 33.33%
g__Bacteroides_D	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Bacteroides(f__Bacteroidaceae) 33.33%
g__Chishuiella	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Chishuiella(f__Flavobacteriaceae) 33.33%
g__Agitococcus	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Agitococcus(f__Carnobacteriaceae) 33.33%
g__NORP36	3	2	g__Arcobacter(f__Campylobacteraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Desulfobacca	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Desulfobacca(f__Syntrophaceae) 33.33%
g__Ferrovibrio	3	2	g__Ferrovibrio(f__Rhodospirillaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-417	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__Arenicella	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Arenicella(f__Arenicellaceae) 33.33%
g__CG2-30-36-11	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Caldisericum 33.33%
g__SbD1	3	2	g__Syntrophobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Miniimonas	3	2	g__Miniimonas 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Malikia	3	2	g__Malikia(f__Comamonadaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Mangrovibacterium	3	2	g__Mangrovibacterium 66.67%, g__Sunxiuqinia 33.33%
g__UBA3792	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Catabacter(f__Catabacteriaceae) 33.33%
g__RUG806	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Ruminococcus(f__Ruminococcaceae) 33.33%
g__UBA1259	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Catabacter(f__Catabacteriaceae) 33.33%
g__Z2-YC6860	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Rhodoplanes(f__Hyphomicrobiaceae) 33.33%
g__Lewinella	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Lewinella(f__Lewinellaceae) 33.33%
g__RUG210	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Alloprevotella(f__Prevotellaceae) 33.33%
g__Solibacter	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Solibacter(f__Solibacteraceae) 33.33%
g__CAG-988	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Bacillus(f__Bacillaceae) 33.33%
g__Thermomicrobium	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Thermomicrobium 33.33%
g__Niameybacter	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Niameybacter(f__Lachnospiraceae) 33.33%
g__CAG-451	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__CAG-776	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Mycoplasma(f__Mycoplasmataceae) 33.33%
g__CAG-977	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Acetobacter(f__Acetobacteraceae) 33.33%
g__CAG-594	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__An200	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Anaeromassilibacillus(f__Ruminococcaceae) 33.33%
g__CAG-1193	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__UBA1822	3	2	g__Dialister(f__Veillonellaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UMGS1537	3	2	g__Clostridium(f__Clostridiaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-611	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Mycoplasma(f__Mycoplasmataceae) 33.33%
g__SZUA-117	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Woeseia 33.33%
g__Pirellula_B	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Pirellula(f__Planctomycetaceae) 33.33%
g__SXXK01	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Planctomyces 33.33%
g__Thiohalocapsa	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Thiohalocapsa 33.33%
g__Thiolapillus	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Thiolapillus(f__) 33.33%
g__SW132	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Rhodohalobacter 33.33%
g__UBA2020	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Micavibrio(f__) 33.33%
g__SZUA-226	3	2	g__Nitrospina 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__SKZV01	3	2	g__Rhodovibrio(f__Rhodospirillaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Methylomarinum	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Methylomarinum(f__Methylococcaceae) 33.33%
g__Pseudocitrobacter	3	2	g__Pseudocitrobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Pseudobacter	3	2	g__Pseudoflavitalea 66.67%, g__Pseudobacter 33.33%
g__Auraticoccus	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Auraticoccus 33.33%
g__Pelolinea	3	2	g__Pelolinea 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Methylovirgula	3	2	g__Methylovirgula 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Oceanihabitans	3	2	g__Oceanihabitans 66.67%, g__Lacinutrix 33.33%
g__Primorskyibacter	3	2	g__Primorskyibacter 66.67%, g__Pseudooceanicola 33.33%
g__Sulfuritortus	3	2	g__Sulfuritortus 66.67%, g__Thiobacillus 33.33%
g__Minwuia	3	2	g__Minwuia 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Meridianimaribacter	3	2	g__Meridianimaribacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Flaviaesturariibacter	3	2	g__Flaviaesturariibacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Litorilituus	3	2	g__Litorilituus(f__Colwelliaceae) 66.67%, g__Colwellia(f__Colwelliaceae) 33.33%
g__SCMQ01	3	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Ramlibacter(f__Comamonadaceae) 33.33%
g__Emcibacter	3	2	g__Emcibacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Rarobacter	3	2	g__Rarobacter(f__Rarobacteraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Mycoavidus	3	3	g__Candidatus Glomeribacter 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Mycoavidus 33.33%
g__Halothece	3	3	g__Halothece(f__Aphanothecaceae) 33.33%, g__Dactylococcopsis(f__Synechococcaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%
g__Aliterella	3	3	g__Aliterella 33.33%, g__Synechocystis(f__Merismopediaceae) 33.33%, g__Chlorogloea(f__Entophysalidaceae) 33.33%
g__Balneatrix	3	3	g__Balneatrix(f__Balneatrichaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Pokkaliibacter(f__Balneatrichaceae) 33.33%
g__Elainella	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Elainella(f__Oculatellaceae) 33.33%, g__Leptolyngbya(f__Leptolyngbyaceae) 33.33%
g__Pseudodonghicola	3	3	g__Pseudodonghicola 33.33%, g__Sulfitobacter 33.33%, g__Ruegeria 33.33%
g__Pseudoflavonifractor	3	3	g__Pseudoflavonifractor(f__Ruminococcaceae) 33.33%, g__Flavonifractor(f__Ruminococcaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%
g__Aestuariivita	3	3	g__Aestuariivita 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Thalassococcus 33.33%
g__Oceanobacter	3	3	g__Oceanobacter(f__Oceanospirillaceae) 33.33%, g__Thalassolituus(f__Oceanospirillaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%
g__Khelaifiella	3	3	g__Clostridium 33.33%, g__Khelaifiella 33.33%, g__Haloimpatiens 33.33%
g__HLUCCA09	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Tropicimonas 33.33%, g__Rhodovulum 33.33%
g__Defluviitoga	3	3	g__Defluviitoga 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Petrotoga 33.33%
g__Paludisphaera	3	3	g__Planctomyces(f__Planctomycetaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Paludisphaera 33.33%
g__Longibaculum	3	3	g__Candidatus Stoquefichus(f__Erysipelotrichaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Longibaculum(f__Erysipelotrichaceae) 33.33%
g__GCA-900066135	3	3	g__Clostridium(f__Clostridiaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Blautia 33.33%
g__Silvanigrella	3	3	g__Silvanigrella 33.33%, g__Spirobacillus(f__) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%
g__Jiella	3	3	g__Aurantimonas(f__Aurantimonadaceae) 33.33%, g__Fulvimarina(f__Aurantimonadaceae) 33.33%, g__Jiella(f__Aurantimonadaceae) 33.33%
g__Caedibacter	3	3	g__Caedibacter(f__Fastidiosibacteraceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Cysteiniphilum(f__Fastidiosibacteraceae) 33.33%
g__Xinfangfangia	3	3	g__Rhodobacter 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Xinfangfangia 33.33%
g__Natribacillus	3	3	g__Natribacillus(f__Bacillaceae) 33.33%, g__Ruegeria(f__Rhodobacteraceae) 33.33%, g__Salilacibacter(f__Glycomycetaceae) 33.33%
g__Pygmaiobacter	3	3	g__Faecalibacterium 33.33%, g__Pygmaiobacter 33.33%, g__(f__Bradyrhizobiaceae) 33.33%
g__Sandaracinobacter	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Sphingomonas 33.33%, g__Sandaracinobacter 33.33%
g__UBA6156	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Pseudomonas(f__Pseudomonadaceae) 33.33%, g__Blastochloris(f__Hyphomicrobiaceae) 33.33%
g__Roseitalea	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Oricola(f__Phyllobacteriaceae) 33.33%, g__Roseitalea(f__Phyllobacteriaceae) 33.33%
g__Amaricoccus	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Rhodovulum 33.33%, g__Amaricoccus 33.33%
g__WF-2	3	3	g__(f__Bradyrhizobiaceae) 33.33%, g__Lysobacter 33.33%, g__Luteimonas 33.33%
g__Eoetvoesia	3	3	g__Pusillimonas(f__Alcaligenaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Eoetvoesia(f__Alcaligenaceae) 33.33%
g__Regiella	2	1	g__Candidatus Regiella 100.0%
g__Alcanivorax_A	2	1	g__Alcanivorax 100.0%
g__Clostridium_AA	2	1	g__Clostridium 100.0%
g__Rubrobacter_B	2	1	g__Rubrobacter 100.0%
g__Alicyclobacillus_H	2	1	g__Alicyclobacillus 100.0%
g__Spirochaeta_A	2	1	g__Spirochaeta(f__Spirochaetaceae) 100.0%
g__Tamlana_B	2	1	g__Tamlana 100.0%
g__Bacillus_AO	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Clostridium_V	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pontibacillus_A	2	1	g__Pontibacillus(f__Bacillaceae) 100.0%
g__Anabaena_A	2	1	g__Anabaena 100.0%
g__Treponema_C	2	1	g__Treponema(f__Spirochaetaceae) 100.0%
g__Sodalis_A	2	1	g__Sodalis(f__Pectobacteriaceae) 100.0%
g__Dialister_B	2	1	g__Dialister(f__Veillonellaceae) 100.0%
g__Spiroplasma_B	2	1	g__Spiroplasma(f__Spiroplasmataceae) 100.0%
g__Pseudomonas_N	2	1	g__Pseudomonas 100.0%
g__HUN007	2	1	g__Ruminococcus 100.0%
g__Profftella	2	1	g__Candidatus Profftella(f__) 100.0%
g__Megalodesulfovibrio	2	1	g__Desulfovibrio 100.0%
g__Clostridium_Z	2	1	g__Clostridium 100.0%
g__MONJU	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Moranella	2	1	g__Candidatus Moranella 100.0%
g__R2A130	2	1	g__Ahrensia(f__Rhodobacteraceae) 100.0%
g__HIMB11	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Enterobacter_B	2	1	g__Pluralibacter 100.0%
g__Desulfosudis	2	1	g__Desulfococcus(f__Desulfobacteraceae) 100.0%
g__Ruthia	2	1	g__Candidatus Ruthia(f__) 100.0%
g__Pseudomonas_G	2	1	g__Pseudomonas 100.0%
g__Tetrasphaera_A	2	1	g__Tetrasphaera(f__Intrasporangiaceae) 100.0%
g__Ruminiclostridium_D	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Oleidesulfovibrio	2	1	g__Desulfovibrio 100.0%
g__Endolissoclinum	2	1	g__Candidatus Endolissoclinum(f__Rhodospirillaceae) 100.0%
g__Arthrobacter_C	2	1	g__Arthrobacter 100.0%
g__PCC-7375	2	1	g__Leptolyngbya(f__Leptolyngbyaceae) 100.0%
g__Aeromicrobium_A	2	1	g__Aeromicrobium 100.0%
g__Desulfallas_B	2	1	g__Desulfallas(f__Peptococcaceae) 100.0%
g__Paenibacillus_K	2	1	g__Paenibacillus 100.0%
g__F0058	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Williamsia_A	2	1	g__Williamsia(f__Williamsiaceae) 100.0%
g__Mycoplasma_H	2	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__PMMR1	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Rhodopseudomonas_A	2	1	g__Rhodopseudomonas(f__Bradyrhizobiaceae) 100.0%
g__Izemoplasma_B	2	1	g__Candidatus Izimaplasma(f__) 100.0%
g__Alicyclobacillus_A	2	1	g__Alicyclobacillus 100.0%
g__Pantoea_A	2	1	g__Pantoea(f__Erwiniaceae) 100.0%
g__Amoebophilus	2	1	g__Candidatus Amoebophilus 100.0%
g__Glomeribacter	2	1	g__Candidatus Glomeribacter 100.0%
g__Nocardiopsis_C	2	1	g__Nocardiopsis(f__Nocardiopsaceae) 100.0%
g__Clostridium_K	2	1	g__Clostridium 100.0%
g__Stoquefichus	2	1	g__Candidatus Stoquefichus(f__Erysipelotrichaceae) 100.0%
g__Mt11	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WG-1	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Streptomyces_A	2	1	g__Streptomyces 100.0%
g__Azobacteroides	2	1	g__Candidatus Azobacteroides(f__) 100.0%
g__Bacillus_BA	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Caloramator_A	2	1	g__Caloramator(f__Clostridiaceae) 100.0%
g__Bacillus_AF	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Selenomonas_B	2	1	g__Selenomonas 100.0%
g__Desulfallas_A	2	1	g__Desulfallas(f__Peptococcaceae) 100.0%
g__Bacillus_AI	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Paucidesulfovibrio	2	1	g__Desulfovibrio 100.0%
g__Tolypothrix_C	2	1	g__Tolypothrix(f__Tolypothrichaceae) 100.0%
g__GWA2-46-10	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SM23-62	2	1	g__Bacteroides(f__Bacteroidaceae) 100.0%
g__SG8-4	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12445	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10108	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWC1-42-9	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSP1-5	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2282	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWC2-39-14	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA1-48-11	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-41-24	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-37-10	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWB1-42-6	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10027	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2011-GWA2-47-8b	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10014	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DG-78	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SG8-41	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SM23-61	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA1-42-19	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWC2-40-17	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWE2-39-37	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWC1-37-10	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UASB340	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10146	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWB1-45-9	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Hepatoplasma	2	1	g__Candidatus Hepatoplasma(f__Mycoplasmataceae) 100.0%
g__GWC1-47-15	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Sulfobacillus_A	2	1	g__Sulfobacillus(f__Clostridiales Family XVII. Incertae Sedis) 100.0%
g__41-269	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWE1-39-12	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-411	2	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__Entotheonella	2	1	g__Candidatus Entotheonella(f__) 100.0%
g__RBG-1	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__OLB6	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HC6-5	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-631	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BICA1-8	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__64-32	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__OLB9	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__50-218	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__54-24	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__OLB18	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-582	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-552	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7930	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Paralactobacillus	2	1	g__Lactobacillus 100.0%
g__Dellaglioa	2	1	g__Lactobacillus 100.0%
g__Holzapfelia	2	1	g__Lactobacillus 100.0%
g__Nostoc_B	2	1	g__Nostoc 100.0%
g__Lenti-02	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU015	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__ATZT02	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fibro-01	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TCS61	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ga0077526	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8199	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU068	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU025	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UKL13-2	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bg2	2	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Caldatribacterium	2	1	g__Candidatus Caldatribacterium(f__) 100.0%
g__PLanc-01	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ga0077527	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Verruco-01	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ga0077545	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Tener-01	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Firm-07	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Firm-10	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU083	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU029	2	1	g__Halothermothrix(f__Halanaerobiaceae) 100.0%
g__DTU027	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU065	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UKL13-3	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Ga0077538	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2030	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Amphibacillus_B	2	1	g__Amphibacillus(f__Bacillaceae) 100.0%
g__Actinomadura_B	2	1	g__Actinomadura(f__Thermomonosporaceae) 100.0%
g__Paenibacillus_U	2	1	g__Paenibacillus 100.0%
g__Tepidibacillus_A	2	1	g__Tepidibacillus(f__Bacillaceae) 100.0%
g__EhC02	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bacillus_AH	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__SJS	2	1	g__Bacillus 100.0%
g__Clostridium_Y	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Dermabacter_A	2	1	g__Dermabacter 100.0%
g__Bacillus_AU	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Pseudophaeobacter_A	2	1	g__Phaeobacter 100.0%
g__Hyphomicrobium_A	2	1	g__Hyphomicrobium 100.0%
g__H1	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Streptomyces_F	2	1	g__Streptomyces(f__Streptomycetaceae) 100.0%
g__Bacillus_AK	2	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Enterococcus_H	2	1	g__Enterococcus 100.0%
g__SCN-69-37	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-900066905	2	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__GCA-900066935	2	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__UBA5124	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RAAC3-TM7-1	2	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Mesorhizobium_E	2	1	g__Mesorhizobium(f__Phyllobacteriaceae) 100.0%
g__Bowdeniella	2	1	g__Actinomyces 100.0%
g__Trichormus_A	2	1	g__Trichormus 100.0%
g__Clostridium_AH	2	1	g__Clostridium 100.0%
g__Vannielia	2	1	g__Oceanicola 100.0%
g__Pseudomonas_L	2	1	g__Pseudomonas 100.0%
